ETITLE:      TS           BOND          ANGLE          DIHED          IMPRP               ELECT            VDW       BOUNDARY           MISC        KINETIC               TOTAL           TEMP      POTENTIAL         TOTAL3        TEMPAVG            PRESSURE      GPRESSURE         VOLUME       PRESSAVG      GPRESSAVG
ENERGY: 1850000       215.0368       711.7453       701.3715        40.5241          -8972.5307       219.0065         0.0000         0.0000      1927.7428          -5157.1037       299.2240     -7084.8465     -5145.6977       299.9998              3.9277         4.4907   1000000.0000         0.0097         0.0108
ENERGY: 1900000       217.1729       686.7903       716.9963        42.0652          -9116.7249       313.2066         0.0000         0.0000      1961.1726          -5179.3209       304.4130     -7140.4936     -5165.2050       299.7789             40.2275        40.7210   1000000.0000         0.0427         0.0427
ENERGY: 1950000       250.1305       698.3566       722.0362        39.9037          -9125.9976       300.9675         0.0000         0.0000      1928.6834          -5185.9197       299.3700     -7114.6031     -5174.0804       300.1456             20.1807        20.3190   1000000.0000         0.0619         0.0635
ENERGY: 2000000       220.6471       692.8386       726.7337        42.8342          -9110.2689       262.3756         0.0000         0.0000      1961.1886          -5203.6511       304.4155     -7164.8396     -5189.0684       298.9205             19.4126        20.3729   1000000.0000        -0.2331        -0.2325
ENERGY: 2050000       257.2173       735.4777       725.2515        44.2034          -9078.4640       237.1244         0.0000         0.0000      1907.4465          -5171.7432       296.0736     -7079.1896     -5158.5270       300.4038              5.2656         4.7801   1000000.0000         0.2345         0.2355
ENERGY: 2100000       210.2235       672.7332       719.0221        43.6107          -9081.6335       295.2223         0.0000         0.0000      1898.6524          -5242.1693       294.7086     -7140.8217     -5227.9353       298.7695             13.9447        13.2227   1000000.0000        -0.1671        -0.1684
ENERGY: 2150000       235.5987       669.8559       730.6786        45.9473          -9021.1145       260.5776         0.0000         0.0000      1892.8991          -5185.5573       293.8156     -7078.4564     -5174.8320       298.9654              1.5101         2.5105   1000000.0000         0.4908         0.4904
ENERGY: 2200000       228.0023       671.8788       710.7467        47.5678          -9025.4882       267.2691         0.0000         0.0000      1975.2983          -5124.7252       306.6056     -7100.0236     -5111.1408       300.1761             16.6285        17.2011   1000000.0000         0.4655         0.4649
ENERGY: 2250000       243.5740       737.3114       703.7529        46.4054          -9110.0293       297.6009         0.0000         0.0000      1991.5670          -5089.8178       309.1308     -7081.3848     -5076.4822       299.6082             42.6334        42.7408   1000000.0000        -0.0618        -0.0612
ENERGY: 2300000       222.8678       667.7904       713.7191        42.9056          -8983.4269       227.4574         0.0000         0.0000      1912.2336          -5196.4529       296.8167     -7108.6865     -5183.6051       299.4372             -5.4156        -5.1700   1000000.0000         0.1057         0.1070
ENERGY: 2350000       244.5987       747.6657       714.8002        44.6133          -9094.8074       278.0099         0.0000         0.0000      1983.8612          -5081.2583       307.9347     -7065.1195     -5067.7909       298.9905             15.6980        15.7937   1000000.0000         0.1475         0.1482
ENERGY: 2400000       270.5434       697.2499       711.0714        41.2757          -8982.2842       237.9316         0.0000         0.0000      1957.5889          -5066.6233       303.8567     -7024.2122     -5054.1195       301.3134            -40.9005       -41.0379   1000000.0000        -0.1601        -0.1597
ENERGY: 2450000       236.2084       660.8393       722.4827        37.1890          -9084.5461       286.5390         0.0000         0.0000      2000.2407          -5141.0471       310.4771     -7141.2878     -5127.2937       299.5008             -4.0116        -3.2376   1000000.0000         0.1906         0.1900
ENERGY: 2500000       247.2514       676.3055       707.8537        47.5764          -9011.0308       221.1386         0.0000         0.0000      1903.9736          -5206.9316       295.5346     -7110.9052     -5192.5467       298.3308            -23.6396       -23.7059   1000000.0000         0.2663         0.2644
ENERGY: 2550000       256.6864       708.5513       705.1914        34.6902          -8980.9316       191.2086         0.0000         0.0000      1970.1425          -5114.4613       305.8053     -7084.6038     -5102.4678       298.7611             -6.1110        -6.2375   1000000.0000         0.1487         0.1492
ENERGY: 2600000       262.2602       678.8067       705.8498        44.5235          -9098.0156       256.5106         0.0000         0.0000      1940.0492          -5210.0156       301.1342     -7150.0648     -5196.9840       300.2150             15.0018        14.9907   1000000.0000        -0.1563        -0.1570
ENERGY: 2650000       243.6547       741.0520       711.7416        44.4845          -9073.9715       219.4598         0.0000         0.0000      1903.2747          -5210.3042       295.4261     -7113.5789     -5196.2427       299.1926              3.9774         4.2245   1000000.0000         0.1764         0.1760
ENERGY: 2700000       243.3510       724.8028       710.9260        47.2087          -9003.1883       230.9020         0.0000         0.0000      1862.6613          -5183.3366       289.1221     -7045.9979     -5170.3397       299.2378            -27.4014       -27.4858   1000000.0000        -0.0152        -0.0162
ENERGY: 2750000       251.5956       684.2628       702.9674        40.0472          -8973.1253       272.0026         0.0000         0.0000      1878.5497          -5143.7001       291.5883     -7022.2498     -5133.3328       299.4331            -53.0006       -52.1957   1000000.0000        -0.0861        -0.0865
ENERGY: 2800000       253.1266       710.0519       708.0477        39.9089          -9042.2595       267.0318         0.0000         0.0000      1960.4289          -5103.6637       304.2976     -7064.0927     -5089.5141       299.1122             -9.8337        -9.6432   1000000.0000        -0.6289        -0.6284
ENERGY: 2850000       258.9554       719.2386       695.8532        34.6780          -9070.1438       240.4701         0.0000         0.0000      1977.1506          -5143.7979       306.8931     -7120.9485     -5129.0597       298.1845             -7.0345        -6.6446   1000000.0000         0.0861         0.0861
ENERGY: 2900000       244.9288       683.3538       703.9406        36.4144          -9202.1089       354.5423         0.0000         0.0000      1972.4841          -5206.4449       306.1688     -7178.9290     -5194.1992       299.4028             22.9571        23.7205   1000000.0000         0.2098         0.2102
ENERGY: 2950000       247.0647       668.0166       718.0785        39.5548          -9154.2408       302.7978         0.0000         0.0000      1937.0134          -5241.7149       300.6630     -7178.7283     -5226.9603       298.8034             13.7725        13.9489   1000000.0000        -0.3057        -0.3051
ENERGY: 3000000       232.6975       698.2714       696.6251        44.3498          -9012.2613       224.0569         0.0000         0.0000      1951.3017          -5164.9589       302.8808     -7116.2606     -5152.7841       298.8392            -20.8148       -20.0174   1000000.0000        -0.1725        -0.1734
ENERGY: 3050000       245.5864       712.9686       687.6406        40.1328          -9058.7387       221.0938         0.0000         0.0000      1950.0617          -5201.2548       302.6884     -7151.3165     -5189.3998       299.7581            -33.5739       -33.3418   1000000.0000         0.0008        -0.0003
ENERGY: 3100000       230.7146       701.3306       716.9966        37.5283          -9044.5013       237.5715         0.0000         0.0000      1976.2708          -5144.0889       306.7565     -7120.3597     -5129.9597       299.8939            -13.8521       -12.9067   1000000.0000         0.0179         0.0183
ENERGY: 3150000       250.8063       692.0900       711.9812        52.6693          -8993.6336       279.7957         0.0000         0.0000      1918.1672          -5088.1238       297.7377     -7006.2910     -5076.5743       299.9157             -1.4620         0.1732   1000000.0000         0.2657         0.2645
ENERGY: 3200000       220.5850       705.9213       707.5547        46.7826          -9041.2714       261.5105         0.0000         0.0000      1959.4848          -5139.4325       304.1510     -7098.9173     -5125.4569       298.6215              7.5874         7.8697   1000000.0000        -0.0814        -0.0815
ENERGY: 3250000       231.2923       722.8196       720.2612        34.4191          -9152.2288       294.1100         0.0000         0.0000      1878.5028          -5270.8238       291.5810     -7149.3266     -5259.2596       299.8180              8.1952         8.9386   1000000.0000         0.1970         0.1959
ENERGY: 3300000       209.9307       694.4847       721.8169        47.2472          -9080.2595       259.0635         0.0000         0.0000      1882.0254          -5265.6911       292.1278     -7147.7166     -5252.1756       298.4347             63.3880        64.7335   1000000.0000         0.1707         0.1697
ENERGY: 3350000       229.2607       713.9998       714.4687        35.8315          -8999.4386       204.6268         0.0000         0.0000      1960.6444          -5140.6067       304.3310     -7101.2511     -5127.3105       298.6065             -2.6318        -2.9745   1000000.0000         0.1058         0.1063
ENERGY: 3400000       227.0478       712.5223       723.5137        46.6121          -9131.0869       296.1227         0.0000         0.0000      1881.9582          -5243.3100       292.1174     -7125.2683     -5231.5070       299.0529             -3.5460        -2.9990   1000000.0000        -0.6010        -0.6008
ENERGY: 3450000       236.8413       685.1713       709.8569        37.2296          -9091.2078       267.3106         0.0000         0.0000      1959.3706          -5195.4274       304.1333     -7154.7980     -5183.3924       298.2603             10.3747        10.3590   1000000.0000         0.3535         0.3550
ENERGY: 3500000       233.0717       705.4542       724.8046        42.7851          -9058.8720       232.1844         0.0000         0.0000      1927.2609          -5193.3111       299.1492     -7120.5720     -5179.3610       299.6349              6.6262         6.9568   1000000.0000         0.2966         0.2940
ENERGY: 3550000       242.7521       702.0719       717.0611        39.7529          -9100.1227       327.9935         0.0000         0.0000      1886.3529          -5184.1383       292.7995     -7070.4912     -5173.2899       299.4478             29.3199        30.2712   1000000.0000        -0.1688        -0.1696
ENERGY: 3600000       256.7497       701.0576       709.7982        36.5638          -9164.5530       334.7117         0.0000         0.0000      1924.8089          -5200.8631       298.7686     -7125.6720     -5187.8361       300.0836             -2.8501        -2.8534   1000000.0000         0.2589         0.2576
ENERGY: 3650000       219.7887       723.2407       709.6435        43.3476          -9054.1655       242.0471         0.0000         0.0000      1941.2024          -5174.8955       301.3132     -7116.0978     -5163.4213       299.5814             16.4874        17.8485   1000000.0000         0.3292         0.3288
ENERGY: 3700000       223.5608       716.9500       721.8930        49.0071          -8998.1585       196.6154         0.0000         0.0000      1885.5884          -5204.5438       292.6808     -7090.1323     -5191.3836       300.3011             15.0657        15.9508   1000000.0000        -0.2383        -0.2389
ENERGY: 3750000       242.2741       666.1624       717.7540        46.3655          -9021.2091       227.6252         0.0000         0.0000      1863.1044          -5257.9234       289.1909     -7121.0279     -5245.3418       299.6816              8.4193         8.8767   1000000.0000         0.1380         0.1355
ENERGY: 3800000       233.1663       708.3079       709.6008        48.0981          -9101.7706       237.2290         0.0000         0.0000      1941.5144          -5223.8542       301.3617     -7165.3686     -5210.1168       299.8027             15.0587        15.0787   1000000.0000         0.0670         0.0673
ENERGY: 3850000       257.7009       684.8479       721.8408        44.8434          -9091.1704       306.3507         0.0000         0.0000      1900.8527          -5174.7340       295.0501     -7075.5867     -5163.3667       299.1128             19.3206        20.0528   1000000.0000        -0.0009         0.0009
ENERGY: 3900000       232.0137       697.9079       704.2603        43.3325          -9151.0465       343.2826         0.0000         0.0000      1914.4456          -5215.8038       297.1600     -7130.2494     -5205.2351       299.1642             -0.9854        -0.1402   1000000.0000        -0.0858        -0.0868
ENERGY: 3950000       251.4598       711.2327       700.4618        33.2111          -8947.9498       206.0499         0.0000         0.0000      1912.0689          -5133.4657       296.7911     -7045.5346     -5120.8243       300.5233             -4.2634        -3.6871   1000000.0000        -0.3872        -0.3881
ENERGY: 4000000       244.4821       710.7517       721.4574        40.0986          -9047.2105       224.8282         0.0000         0.0000      1945.1441          -5160.4483       301.9251     -7105.5924     -5147.9848       300.0742             -4.3909        -3.9033   1000000.0000         0.1914         0.1925
ENERGY: 4050000       220.0778       682.5933       718.2643        47.2280          -9028.2087       244.3467         0.0000         0.0000      1963.6282          -5152.0705       304.7942     -7115.6987     -5138.3119       299.9334             19.6106        21.1648   1000000.0000         0.0912         0.0945
ENERGY: 4100000       244.7081       694.7061       714.8807        39.7132          -9047.6491       249.2650         0.0000         0.0000      1932.2078          -5172.1681       299.9171     -7104.3759     -5157.0790       300.4592             16.2533        15.9947   1000000.0000        -0.0709        -0.0695
ENERGY: 4150000       260.0507       674.0108       708.1892        52.8445          -9052.8139       308.4811         0.0000         0.0000      1940.2285          -5109.0091       301.1621     -7049.2375     -5097.0917       298.8469             33.7104        34.4510   1000000.0000        -0.3566        -0.3560
ENERGY: 4200000       224.7466       675.8312       702.3744        31.1164          -9251.6688       330.1027         0.0000         0.0000      1901.0035          -5386.4941       295.0736     -7287.4976     -5374.0042       299.3804              6.7515         7.6049   1000000.0000         0.3522         0.3518
ENERGY: 4250000       230.0726       701.5166       708.0984        41.1200          -9112.0458       246.2525         0.0000         0.0000      1862.9362          -5322.0496       289.1647     -7184.9858     -5310.0413       299.6381              2.9043         3.4372   1000000.0000         0.1482         0.1490
ENERGY: 4300000       228.1110       705.1445       700.3021        36.7672          -9048.1761       222.5670         0.0000         0.0000      1931.2620          -5224.0223       299.7703     -7155.2843     -5210.7721       300.0866              5.7822         6.3939   1000000.0000         0.2825         0.2829
ENERGY: 4350000       231.0011       704.0043       696.9950        41.0055          -9001.3236       295.3544         0.0000         0.0000      1892.2880          -5140.6753       293.7207     -7032.9633     -5125.9126       299.2690              6.6554         7.7312   1000000.0000        -0.4717        -0.4709
ENERGY: 4400000       229.5401       698.7601       713.2603        42.6997          -9084.0826       263.1956         0.0000         0.0000      1920.0819          -5216.5448       298.0349     -7136.6267     -5204.3815       300.3951             -6.2898        -5.5827   1000000.0000        -0.2072        -0.2057
ENERGY: 4450000       231.4724       686.5978       703.7454        34.3909          -9166.8109       308.5746         0.0000         0.0000      1927.7848          -5274.2448       299.2306     -7202.0296     -5260.6739       298.5905             13.2316        14.1895   1000000.0000         0.2550         0.2537
ENERGY: 4500000       207.0371       699.8708       710.2286        41.8923          -9079.1112       308.7267         0.0000         0.0000      1940.7087          -5170.6470       301.2366     -7111.3557     -5158.9254       299.5523             18.3947        19.5217   1000000.0000         0.3398         0.3397
ENERGY: 4550000       243.8198       698.1073       715.3841        48.7749          -9081.8137       246.5799         0.0000         0.0000      1908.4770          -5220.6707       296.2336     -7129.1477     -5209.7257       299.7321             14.6960        14.1061   1000000.0000        -0.1742        -0.1753
ENERGY: 4600000       233.3966       671.1164       738.1120        44.3634          -9110.4960       243.4203         0.0000         0.0000      1959.5168          -5220.5704       304.1560     -7180.0872     -5204.4934       299.6883              2.2432         2.9276   1000000.0000         0.2034         0.2025
ENERGY: 4650000       224.6131       689.4708       711.8829        43.1544          -9081.0075       268.7675         0.0000         0.0000      1866.7401          -5276.3788       289.7552     -7143.1189     -5264.9655       297.7015             -5.5001        -4.9199   1000000.0000         0.0444         0.0446
ENERGY: 4700000       238.7025       703.4063       710.6214        36.0358          -9080.6098       244.4500         0.0000         0.0000      1920.9061          -5226.4878       298.1628     -7147.3939     -5213.8681       299.5149            -13.1296       -13.2978   1000000.0000         0.2723         0.2714
ENERGY: 4750000       234.9644       701.6023       730.2295        35.2409          -9128.0705       269.8079         0.0000         0.0000      1956.9968          -5199.2286       303.7648     -7156.2254     -5182.8692       298.8435              6.9483         6.8754   1000000.0000         0.1858         0.1854
ENERGY: 4800000       248.9831       676.6341       699.6553        49.0278          -9127.1296       245.4151         0.0000         0.0000      1931.7271          -5275.6872       299.8425     -7207.4143     -5264.1729       298.6687            -11.4961       -11.5071   1000000.0000        -0.0981        -0.0991
ENERGY: 4850000       223.8005       672.4902       717.5833        52.6606          -9054.0423       231.6581         0.0000         0.0000      1901.1781          -5254.6716       295.1007     -7155.8497     -5243.9433       299.0843            -29.1983       -28.3888   1000000.0000        -0.3069        -0.3055
ENERGY: 4900000       214.1406       687.4302       724.9918        42.6510          -9056.3540       275.4687         0.0000         0.0000      1931.3935          -5180.2780       299.7907     -7111.6715     -5166.7544       297.8464             -3.4718        -3.0146   1000000.0000         0.2059         0.2074
ENERGY: 4950000       243.3589       747.3651       703.9310        36.2717          -9003.8343       195.7992         0.0000         0.0000      1929.8098          -5147.2986       299.5449     -7077.1084     -5133.3750       299.0356            -42.7317       -42.8770   1000000.0000        -0.1596        -0.1592
ENERGY: 5000000       243.1847       697.1071       707.1797        34.4706          -9098.0262       282.7108         0.0000         0.0000      1950.2097          -5183.1635       302.7113     -7133.3732     -5168.5948       299.7084            -40.5797       -39.2784   1000000.0000         0.1329         0.1343
ENERGY: 5050000       235.7533       702.9710       715.6579        38.0015          -9163.6350       282.8653         0.0000         0.0000      1886.9032          -5301.4828       292.8849     -7188.3860     -5288.2768       298.4790             26.6541        27.1742   1000000.0000        -0.5629        -0.5638
