# step Etot Epot T p 
13450000 -5143.3236 -7136.3508 309.3575 2.7271 
13500000 -5101.5356 -7025.6501 298.6609 15.6549 
13550000 -5189.5112 -7138.7843 302.566 34.9395 
13600000 -5185.1588 -7114.3621 299.4507 0.2445 
13650000 -5175.8785 -7100.8128 298.7881 -33.5378 
13700000 -5229.7786 -7153.186 298.5511 10.1671 
13750000 -5217.2938 -7179.1663 304.5216 44.7796 
13800000 -5236.1023 -7188.3534 303.0282 -7.6122 
13850000 -5235.0254 -7155.3344 298.0702 6.0509 
13900000 -5207.5097 -7105.9862 294.6813 -15.5963 
13950000 -5134.4859 -7095.2243 304.3456 7.8479 
14000000 -5208.1222 -7129.6683 298.2622 -40.3027 
14050000 -5191.7022 -7094.9384 295.4201 -12.0207 
14100000 -5049.2548 -7058.9004 311.937 -4.4395 
14150000 -5221.7997 -7142.5274 298.1351 1.3729 
14200000 -5155.5669 -7061.8109 295.887 -14.1313 
14250000 -5227.0497 -7117.6487 293.4586 -44.5501 
14300000 -5161.0919 -7089.3477 299.3037 -6.5731 
14350000 -5142.16 -7102.4439 304.2751 25.9468 
14400000 -5184.8959 -7118.9489 300.2035 11.4298 
14450000 -5097.9956 -7059.3887 304.4472 -8.8527 
14500000 -5141.6424 -7039.9675 294.6578 5.4522 
14550000 -5271.5591 -7151.3588 291.7823 -7.1476 
14600000 -5309.6897 -7172.785 289.1895 -16.914 
14650000 -5216.9681 -7129.4959 296.8624 6.6079 
14700000 -5169.6797 -7142.796 306.2669 -61.1784 
14750000 -5146.8137 -7093.7722 302.2067 -0.7066 
14800000 -5219.088 -7144.6436 298.8845 7.9371 
14850000 -5116.2858 -7020.1411 295.5162 -25.8373 
14900000 -5168.7625 -7108.6915 301.1156 -46.3982 
14950000 -5149.3274 -7088.3618 300.9767 -18.0994 
15000000 -5254.8516 -7192.4013 300.7463 -14.3261 
15050000 -5235.4581 -7182.63 302.2398 14.6729 
15100000 -5203.1291 -7124.9429 298.3037 17.2913 
15150000 -5201.3345 -7141.2161 301.1082 20.1627 
15200000 -5141.6212 -7062.77 298.2005 24.1364 
15250000 -5136.7604 -7104.6946 305.4625 -1.3549 
15300000 -5152.1383 -7091.1644 300.9754 17.931 
15350000 -5128.2777 -7076.507 302.4039 19.7026 
15400000 -5222.7736 -7119.596 294.4246 -24.2184 
15450000 -5148.152 -7103.3801 303.4903 1.0473 
15500000 -5197.6861 -7145.6411 302.3614 -32.8545 
15550000 -5206.4179 -7178.9483 306.176 20.5883 
15600000 -5160.9468 -7073.925 296.9323 1.645 
15650000 -5185.6043 -7130.5941 301.9011 -0.6386 
15700000 -5199.1384 -7090.2841 293.5434 -4.9196 
15750000 -5217.4469 -7085.0259 289.8854 -44.1118 
15800000 -5179.3359 -7071.2144 293.6572 1.2525 
