ETITLE:      TS           BOND          ANGLE          DIHED          IMPRP               ELECT            VDW       BOUNDARY           MISC        KINETIC               TOTAL           TEMP      POTENTIAL         TOTAL3        TEMPAVG            PRESSURE      GPRESSURE         VOLUME       PRESSAVG      GPRESSAVG
ENERGY:  325000         0.0000         0.0000         0.0000         0.0000          -5554.2066       362.3876         0.0000         0.0000       985.3960          -4206.4231       313.0517     -5191.8191     -4204.7230       302.5629           -729.7688      -700.9736     22740.7032      -229.2870      -229.4015
ENERGY:  330000         0.0000         0.0000         0.0000         0.0000          -5630.4269       424.4439         0.0000         0.0000       995.9978          -4209.9852       316.4198     -5205.9831     -4207.1992       303.7103            425.4569       448.3269     22622.1151      -230.7184      -230.8478
ENERGY:  335000         0.0000         0.0000         0.0000         0.0000          -5566.4095       372.9232         0.0000         0.0000       966.0255          -4227.4609       306.8978     -5193.4863     -4224.9694       300.3094           -398.0703      -372.3634     22452.6316      -175.7807      -175.8517
ENERGY:  340000         0.0000         0.0000         0.0000         0.0000          -5596.2797       383.8137         0.0000         0.0000       932.4062          -4280.0598       296.2173     -5212.4660     -4277.8988       298.7694           -442.8623      -416.7149     22677.7965      -268.6596      -268.5642
ENERGY:  345000         0.0000         0.0000         0.0000         0.0000          -5637.4788       435.8702         0.0000         0.0000       970.2971          -4231.3116       308.2549     -5201.6086     -4229.3594       298.8763            489.0858       491.4822     22527.2681      -227.5690      -227.3961
ENERGY:  350000         0.0000         0.0000         0.0000         0.0000          -5632.0932       418.9414         0.0000         0.0000       945.7217          -4267.4301       300.4475     -5213.1518     -4265.7301       298.8212           -294.0250      -270.5401     22880.7213      -219.1449      -219.1378
ENERGY:  355000         0.0000         0.0000         0.0000         0.0000          -5590.7696       409.8537         0.0000         0.0000       944.3783          -4236.5376       300.0207     -5180.9159     -4233.9594       298.4695             88.8402       114.4574     22615.3342      -212.7044      -212.7810
ENERGY:  360000         0.0000         0.0000         0.0000         0.0000          -5631.9263       397.6768         0.0000         0.0000       934.4997          -4299.7499       296.8824     -5234.2496     -4298.0082       298.0562           -348.6598      -326.9654     22725.5751      -241.0460      -240.8888
ENERGY:  365000         0.0000         0.0000         0.0000         0.0000          -5555.2573       351.4614         0.0000         0.0000       956.2368          -4247.5591       303.7880     -5203.7959     -4244.3924       299.0832           -442.2784      -417.3416     22637.4141      -260.1139      -260.0936
ENERGY:  370000         0.0000         0.0000         0.0000         0.0000          -5519.0200       332.0082         0.0000         0.0000       906.6421          -4280.3698       288.0322     -5187.0119     -4278.8473       301.1760           -640.5220      -629.1577     22637.3517      -193.5569      -193.7751
ENERGY:  375000         0.0000         0.0000         0.0000         0.0000          -5517.6051       342.8325         0.0000         0.0000       932.2100          -4242.5627       296.1549     -5174.7727     -4241.0962       297.5087           -472.9619      -451.7579     22581.4958      -205.2602      -205.1591
ENERGY:  380000         0.0000         0.0000         0.0000         0.0000          -5659.5596       432.8680         0.0000         0.0000       938.8546          -4287.8370       298.2659     -5226.6916     -4285.4164       300.2527            245.3845       268.2085     22546.3858      -205.3699      -205.5053
ENERGY:  385000         0.0000         0.0000         0.0000         0.0000          -5673.2611       418.2182         0.0000         0.0000       909.0964          -4345.9466       288.8119     -5255.0430     -4345.2894       294.5936            -25.8689        -9.3971     22534.2376      -207.9157      -207.8551
ENERGY:  390000         0.0000         0.0000         0.0000         0.0000          -5567.5738       406.2034         0.0000         0.0000       949.0397          -4212.3306       301.5016     -5161.3704     -4209.0813       297.6696           -110.4957       -98.4040     22802.1422      -252.2206      -252.1533
ENERGY:  395000         0.0000         0.0000         0.0000         0.0000          -5697.9842       402.4630         0.0000         0.0000       959.0205          -4336.5006       304.6724     -5295.5212     -4334.0545       303.6219           -266.5711      -239.1404     22509.4051      -214.6806      -214.7374
ENERGY:  400000         0.0000         0.0000         0.0000         0.0000          -5618.3476       386.2363         0.0000         0.0000       939.1163          -4292.9950       298.3490     -5232.1113     -4291.1276       295.8604             13.9860        29.6512     22468.1607      -250.4553      -250.6117
ENERGY:  405000         0.0000         0.0000         0.0000         0.0000          -5515.2795       331.1373         0.0000         0.0000       913.1508          -4270.9914       290.1000     -5184.1422     -4268.5920       300.0185          -1047.0792     -1047.4970     22760.9086      -217.5497      -217.5130
ENERGY:  410000         0.0000         0.0000         0.0000         0.0000          -5694.3725       434.5749         0.0000         0.0000       954.4038          -4305.3938       303.2057     -5259.7976     -4302.8816       296.1203            328.7269       350.9161     22436.1138      -260.4729      -260.5199
ENERGY:  415000         0.0000         0.0000         0.0000         0.0000          -5589.5316       390.0172         0.0000         0.0000       942.5399          -4256.9745       299.4367     -5199.5144     -4254.7092       297.8739            -33.1025       -17.5306     22646.3380      -234.2132      -234.2182
ENERGY:  420000         0.0000         0.0000         0.0000         0.0000          -5573.5461       414.6464         0.0000         0.0000       950.0425          -4208.8572       301.8202     -5158.8997     -4206.8040       301.4028            -91.0077       -79.1456     22826.8937      -232.3589      -232.1792
ENERGY:  425000         0.0000         0.0000         0.0000         0.0000          -5576.8681       378.1149         0.0000         0.0000       885.9539          -4312.7993       281.4598     -5198.7532     -4310.7415       297.8124           -498.4176      -467.9592     22844.0913      -227.6889      -227.8716
ENERGY:  430000         0.0000         0.0000         0.0000         0.0000          -5665.7498       427.2803         0.0000         0.0000       943.3678          -4295.1017       299.6997     -5238.4695     -4293.1250       295.3612           -105.9670       -82.1509     22789.1726      -202.7149      -202.7173
ENERGY:  435000         0.0000         0.0000         0.0000         0.0000          -5714.6404       476.9091         0.0000         0.0000       958.0187          -4279.7125       304.3541     -5237.7312     -4276.5182       297.9028            380.7764       399.1941     22898.0344      -166.9209      -166.8918
ENERGY:  440000         0.0000         0.0000         0.0000         0.0000          -5582.9168       381.8633         0.0000         0.0000       936.8003          -4264.2532       297.6132     -5201.0535     -4261.4765       294.6360           -320.1902      -285.1579     22625.8630      -235.8050      -235.7760
ENERGY:  445000         0.0000         0.0000         0.0000         0.0000          -5600.6913       414.3063         0.0000         0.0000       925.0782          -4261.3068       293.8892     -5186.3850     -4259.6937       297.6788             84.9492       107.8917     22749.0085      -210.3125      -210.4169
ENERGY:  450000         0.0000         0.0000         0.0000         0.0000          -5551.8637       396.5361         0.0000         0.0000       934.9116          -4220.4160       297.0132     -5155.3277     -4217.8018       300.8921           -145.6275      -118.6939     22833.5063      -169.1605      -169.2212
ENERGY:  455000         0.0000         0.0000         0.0000         0.0000          -5537.6924       373.0056         0.0000         0.0000       925.5798          -4239.1070       294.0486     -5164.6868     -4237.6093       303.5221           -393.2787      -377.1665     22738.7562      -299.3225      -299.0495
ENERGY:  460000         0.0000         0.0000         0.0000         0.0000          -5562.3172       400.6594         0.0000         0.0000       883.6153          -4278.0425       280.7168     -5161.6578     -4276.2956       302.5724           -286.1971      -261.7851     22880.0998      -217.3612      -217.4412
ENERGY:  465000         0.0000         0.0000         0.0000         0.0000          -5586.7865       385.6923         0.0000         0.0000       943.6977          -4257.3964       299.8045     -5201.0942     -4255.0526       296.8560           -530.0536      -508.7429     22781.7224      -231.3342      -231.3338
ENERGY:  470000         0.0000         0.0000         0.0000         0.0000          -5621.8055       424.0807         0.0000         0.0000       969.7200          -4228.0049       308.0715     -5197.7248     -4227.2738       300.1354            260.2659       297.4658     22604.9674      -196.7130      -196.4729
ENERGY:  475000         0.0000         0.0000         0.0000         0.0000          -5584.7419       375.7889         0.0000         0.0000       946.7058          -4262.2471       300.7601     -5208.9529     -4260.1473       300.7378           -561.4581      -539.3445     22859.4977      -214.7239      -214.7258
ENERGY:  480000         0.0000         0.0000         0.0000         0.0000          -5596.9894       377.7745         0.0000         0.0000       927.8046          -4291.4103       294.7554     -5219.2149     -4288.7523       294.9472           -486.5455      -467.2640     22746.5610      -141.7161      -141.6322
ENERGY:  485000         0.0000         0.0000         0.0000         0.0000          -5642.9728       424.7541         0.0000         0.0000       921.2956          -4296.9231       292.6875     -5218.2187     -4294.2587       298.1480             23.0709        45.5524     22807.3223      -203.4486      -203.4051
ENERGY:  490000         0.0000         0.0000         0.0000         0.0000          -5542.1971       373.6732         0.0000         0.0000       931.9665          -4236.5573       296.0776     -5168.5238     -4234.2740       298.4206           -249.7458      -221.7660     22661.3089      -224.0454      -223.9940
ENERGY:  495000         0.0000         0.0000         0.0000         0.0000          -5551.5816       382.5351         0.0000         0.0000       959.9141          -4209.1324       304.9563     -5169.0465     -4208.0022       303.6028           -438.7324      -410.2208     22842.8934      -262.2036      -262.1892
ENERGY:  500000         0.0000         0.0000         0.0000         0.0000          -5562.5569       350.6626         0.0000         0.0000       943.1483          -4268.7460       299.6299     -5211.8943     -4267.2626       301.3831           -657.5825      -637.5989     22769.0011      -171.5561      -171.4683
